name,lat,lng,FSA,RATINGS
The Holy Trinity,43.5977572,-79.5171175,M8V,7.1
St Ambrose,43.6084402,-79.5500704,M8W,7.5
Our Lady of Sorrows,43.6484916,-79.5190898,M8X,8.2
St Louis,43.3153122,-73.6425142,M8Y,7.4
St Mark,40.3381873,-74.2037396,M8Y,6.3
Holy Angels,43.6283387,-79.5182219,M8Z,7.5
St Elizabeth,43.6351132,-79.5573188,M9B,5.8
St Gregory,43.6607669,-79.5446257,M9B,7.5
Josyf Cardinal Slipyj,43.6595925,-79.5656999,M9B,8.8
St Clement,43.6321865,-79.5738209,M9C,8.8
Mother Cabrini,43.6636566,-79.58606,M9C,7.2
Nativity of Our Lord,43.6535942,-79.5758195,M9C,7.1
St Roch,43.7536373,-79.5667534,M9L,2.5
Venerable John Merlini,43.7565187,-79.579176,M9L,6.6
St Jude,32.531012,-96.88125,M9M,4.8
St Simon,43.7188646,-79.5329011,M9M,5.9
All Saints,43.6852809,-79.5274749,M9P,7.6
St Demetrius,43.68474,-79.5216143,M9P,8.4
St Eugene,43.6925158,-79.5372047,M9P,6.9
Father Serra,43.6858705,-79.537073,M9P,8.3
St Marcellus,43.6795618,-79.5543556,M9R,5.6
St Maurice,43.6979481,-79.5539341,M9R,5.9
Transfiguration of our Lord,43.691642,-79.5627147,M9R,6.1
St Andrew,43.7449145,-79.5823043,M9V,4.8
St Angela,43.754586,-79.5964242,M9V,4.1
St Dorothy,43.7316793,-79.591691,M9V,2.5
St John Vianney,43.7380987,-79.553785,M9V,6.1
Msgr John Corrigan,43.7513812,-79.6044016,M9V,5.3
St Benedict,43.7232617,-79.5732526,M9W,6.5
Holy Child,43.7287533,-79.6191535,M9W,5.9
St Stephen,43.722093,-79.5544514,M9W,3.3
